コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景画像,BGM,SE
send,,,通常,制服,中央,膝上,嘉永3年、5月,黒,,
send,,,通常,私服,中央,膝上,父親の薬を買いに出た帰り、突如\n起きた火災に巻き込まれる沙夜。,黒,,
send,,沙夜,,,,,「早く父さまの元へ戻らないと！」,黒,,
send,,,,,,,家路を急ぐが、炎は次第に広がって\nいき、多くの人が続々と避難をはじ\nめ、通りは人でごった返していた。,黒,,
send,,,通常,制服,中央,膝上,その時――,黒,,
send,,辰己,怒,制服,中央,膝上,「てめえら！道を開けろ！め組様\nのお通りだ！！」,黒,,
send,,辰己,通常,制服,中央,膝上,火災現場に現れたのは町火消二番組\nめ組。,黒,,
send,,辰己,通常,制服,中央,膝上,到着早々、め組の組員たちは\n消化活動をはじめる。,黒,,
send,,辰己,通常,制服,中央,膝上,め組の姿を見た人々に安堵の表情が\n浮かぶ。,黒,,
draw,,辰己,通常,制服,左,膝上,,黒,,
send,,酉助,怒,制服,右,膝上,「今は風が止んでいる。今のうちに\n延焼を止めるぞ」,黒,,
send,,,,,,,め組の中心にいる人がほかの組員\nたちに指示を出す。,黒,,
send,,沙夜,通常,制服,中央,膝上,「違う．．．。そっちではいけない！」,黒,,
send,,,通常,制服,中央,膝上,町火消の頭領だった父を持つ沙夜は\n幼い頃から父の影響で風を読むこと\nができた。,黒,,
draw,,酉助,通常,制服,中央,膝上,,黒,,
send,,沙夜,,,,,「あ、あの！」,黒,,
draw,,酉助,通常,制服,中央,膝上,,黒,,
send,,,,,,,め組の中心いる人物をつかまえて\n声をかける。,黒,,
send,,酉助,通常,制服,中央,膝上,「！君、ここは危険だ。早く避難\nを！」,黒,,
send,,沙夜,通常,制服,中央,膝上,「今のままではいけません！まもな\nく北の方角から強い風が吹きま\nす！」,黒,,
send,,酉助,通常,制服,中央,膝上,「北から風？君は一体．．．」,黒,,
draw,,辰己,通常,制服,左,膝上,,黒,,
draw,,酉助,通常,制服,右,膝上,,黒,,
send,,,,,,,沙夜の言葉を最初は疑いつつも取り\n壊す範囲を変更しため組。,黒,,
draw,,辰己,通常,制服,左,膝上,,黒,,
draw,,酉助,通常,制服,右,膝上,,黒,,
send,,,,,,,北方面の家をあらかた取り壊した\nところで北から強い突風が\nふきぬける。,黒,,
draw,,辰己,通常,制服,左,膝上,,黒,,
draw,,酉助,通常,制服,右,膝上,,黒,,
send,,,,,,,炎は北方へと進路を変更する。,黒,,
draw,,辰己,通常,制服,左,膝上,,黒,,
draw,,酉助,通常,制服,右,膝上,,黒,,
send,,,,,,,しかし事前に沙夜の助言で周りの家\nを崩し終えていたため、延焼をまぬ\nがれた。,黒,,
send,,,,,,,その火災から2ヶ月後、沙夜の父親\nが亡くなる。,黒,,
send,,,,,,,元め組の頭領であり、江戸一の\n名火消と言われた沙夜の父親、壬。,黒,,
send,,,,,,,しかし足を負傷し、数年前に火消を\n引退してからは病に臥せっていた。,黒,,
send,,,,,,,父の葬儀を済ませた後、現め組の\n頭領である源七が沙夜の元へ\nやってくる。,黒,,
send,,,,,,,源七は壬に頼まれて1人に\nなってしまった沙夜を引取りに\n来たのである。,黒,,
send,,,,,,,源七と共にやってきたのは以前の\n火災で活躍した町火消め組の詰所。,黒,,
send,,,,,,,沙夜はめ組で世話役として働くこと\nとなった。,黒,,
send,,,,,,,詰所の玄関先で源七を待っていると\n後ろから近付いてくる足音がある。,黒,,
send,,,,,,,「あれ？君は――。」,黒,,
send,,,,,,,振り向いた先にいた人物は―――。,白,,
sceneEnd,minigame,,,,,,,,,
