COMMANDO,PARAMETER,CHARACTER_NAME,EXPRESSION,COSTUME,POSITION_X,POSITION_Y,SIZE,TEXT,BACK_GROUND,BGM
send,,村人A,通常,3,0,0,1,テキスト1,0,
send,,村人B,通常,2,0,0,1,テキスト2,0,
send,,,,,,,,テキスト3,,
send,,,,,,,,テキスト4,,
send,,村人A,通常,0,0,0,1,テキスト5,0,
draw,,村人B,通常,1,-200,0,0.8,テキスト6,0,
send,,村人A,通常,2,200,0,0.8,テキスト7,0,
send,,村人A,通常,3,0,0,1,テキスト8,0,
choice,2,,,,,,,選択肢1,,
choice,1,,,,,,,選択肢2,,
choice,0,,,,,,,選択肢3,,
send,,村人A,通常,0,0,0,1,テキスト12,,
send,,村人A,通常,0,0,0,1,テキスト13,,
send,,村人A,喜,1,0,0,1,テキスト14,,
send,,村人A,怒,2,0,0,1,テキスト15,,
send,,村人A,哀,3,0,0,1,テキスト16,,
send,,村人A,楽,1,0,0,1,テキスト17,,
send,,,,,,,,テキスト18,,
send,,,,,,,,テキスト19,,
send,,,,,,,,テキスト20,,
send,,,,,,,,テキスト21,,
send,,,,,,,,テキスト22,,
send,,,,,,,,テキスト23,,
send,,,,,,,,テキスト24,,
send,,,,,,,,テキスト25,,
send,,,,,,,,テキスト26,,
send,,,,,,,,テキスト27,,
send,,,,,,,,テキスト28,,
send,,,,,,,,テキスト29,,
