コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景画像,BGM,SE
send,,,,,,,め組の世話役になって数日。,部屋,,
send,,,,,,,ここでの生活に慣れてきた沙夜。,部屋,,
send,,,,,,,"この日もいつも通り仕事をこなして
いると、沙夜のことを訪ねてとある
人物がやってくる。
",部屋,,
send,,,,,,,"その人物は沙夜の友人お菊
であった。",部屋,,
send,,,,,,,"（お菊は呉服商の娘。流行ものや恋
のお話しが好きな女の子。町の噂や
情報に詳しい。）
",部屋,,
send,,,,,,,"お菊はめ組で暮らすことになった
沙夜を心配して訪ねてきたのだ。",部屋,,
send,,お菊,通常,制服,中央,腰上,"「急にめ組で働くことになったって
聞いて．．．心配したのよ？」",部屋,,
send,,,,,,,というお菊に,部屋,,
send,,,,,,,"「ちゃんとお話できなくて
ごめんね。」",部屋,,
send,,,,,,,"「でもみんな良い方たちばかり
だから、私は大丈夫だよ。
心配してくれてありがとう」",部屋,,
send,,,,,,,微笑む沙夜。,部屋,,
send,,,,,,,"沙夜の元気そうな姿を見て安心した
お菊はめ組に気になる人はいないの
かと問いかける。",部屋,,
send,,お菊,,,,,"「め組といえば火消の中でも美形が
多いって有名じゃない！」",部屋,,
send,,お菊,,,,,"「特に纏持ちの辰己さん！男前で
堂々と纏を掲げる姿はさながら龍の
如しって言われているのよ！」",部屋,,
send,,お菊,,,,,"「硬派なところが近寄り難くて
素敵って町の女性たちに大人気
なんだから！」",部屋,,
send,,お菊,,,,,"「そんな人たちと一つ屋根の下っ
てどうなの！？恋とか芽生えたり
しないの！？」",部屋,,
send,,,,,,,"興味津々に捲し立ててくるお菊に
沙夜は否定する。",部屋,,
send,,,,,,,"最後にお菊は「永遠の丘」という場
所があることを教えてくれる。",部屋,,
send,,,,,,,"そこで愛を誓った2人は永遠に
結ばれるという。",部屋,,
send,,,,,,,"お菊が帰った後、再び仕事に戻る
沙夜。",部屋,,
draw,,辰己,通常,制服,中央,膝上,,,,
send,,,,,,,"そこに辰己がやってきて
「永遠の丘」の話をする。",部屋,,
send,,辰己,通常,制服,中央,膝上,「くだらねぇ」,部屋,,
draw,,辰己,通常,制服,中央,膝上,,部屋,,
send,,,,,,,辰己は一蹴。,部屋,,
draw,,辰己,通常,制服,中央,膝上,,部屋,,
send,,,,,,,"相変わらず2人の距離は一向に
縮まらない。",部屋,,
draw,,辰己,通常,制服,左,膝上,,,,
draw,,酉助,通常,制服,右,膝上,,部屋,,
send,,,,,,,"見兼ねた酉助は2人にお遣いを
頼むことに。",部屋,,
sceneEnd,,,,,,,,,,
