コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmPlay,nichijou01,,,,,,,
back,台所,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,"あれからしばらく時が経ち。
二人は詰所を出て、詰所の近くの
小さな町家で暮らしていた。",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「あっ、辰己さん！
もう行かれますか？」",
send,,辰己,通常,パターン1,中央,膝上,「ああ」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,,,,,,"見送りに向かおうとする沙夜を、
手で制する。",
send,,辰己,通常,パターン1,中央,膝上,「ここでいい」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,,,,,,"その視線を見るだけで、
火を扱っているのを気にしてくれて
いることがわかった。",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「ありがとうございます。
あの……気をつけて、
行ってきてくださいね」",
send,,辰己,通常,パターン1,中央,膝上,「わかってるよ」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,,,,,,"見上げる沙夜の首の後ろに
手を回し、安心させるように優しく
なでた。",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「今日の昼、詰所に行きますから。
また後で、ですね」",
send,,辰己,喜,パターン1,中央,膝上,「いつもこの日が楽しみだ」,
draw,,辰己,喜,パターン1,中央,膝上,,
send,,,,,,,詰所を出て以来。,
draw,,辰己,喜,パターン1,中央,膝上,,
send,,,,,,,"沙夜は女手がなくなった
詰所の家事を、七日に一度、
片付けに行っていた。",
draw,,辰己,喜,パターン1,中央,膝上,,
send,,沙夜,,,,,"「ふふっ、私もみなさんにお会い
出来るので楽しみです」",
draw,,辰己,喜,パターン1,中央,腰上,,
send,,,,,,,"沙夜が笑うと辰己がその頬を
両手で包み、顔を近づけた。",
draw,,辰己,喜,パターン1,中央,腰上,,
send,,沙夜,,,,,（！！）,
send,,辰己,通常,パターン1,中央,腰上,「お前が来るのを待ってる」,
draw,,辰己,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,「……はい」,
draw,,辰己,喜,パターン1,中央,腰上,,
send,,,,,,,"優しく自分を見つめる辰己に、
沙夜は笑顔で頷き返した……――。
",
fadein,2,,,,,,,
back,玄関（め組）,,,,,,,
bgmstop,,,,,,,,
bgmPlay,nichijou03,,,,,,,
fadeout,2,,,,,,,
send,,沙夜,,,,,「ごめんください、沙夜です！」,
send,,,,,,,沙夜は玄関の前で組員を呼んだ。,
send,,源七,喜,パターン1,中央,膝上,「お、沙夜。よく来たね」,
draw,,源七,喜,パターン1,中央,膝上,,
send,,沙夜,,,,,"「源七さん！　今日はよろしく
お願いします」",
send,,源七,通常,パターン1,中央,膝上,"「こちらこそだよ。
さ、今はみんな出ているから
掃除からやってもらおうか」",
draw,,源七,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「わかりました！」,
send,,,,,,,"沙夜は源七の後を追って、
詰所へと入っていった。",
sceneEnd,,,,,,,,
