コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmplay,kinpaku,,,,,,,
send,,辰己,怒,パターン1,中央,膝上,「てめぇら！何してやがんだ！」,
draw,,辰己,怒,パターン1,中央,膝上,,
send,,,,,,,"男たちの後ろに怒りを露わにした
辰己が立っていた。",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,沙夜,,,,,「辰己さん！」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,酔っ払い１,,,,,「あ？なんだお前？」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,酔っ払い２,,,,,"「俺たちはこのお嬢ちゃんに用が
あるんだ」",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,酔っ払い３,,,,,"「関係ねぇ奴はすっこんで…
うわっ！！」",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,,,,,,"男が殴ろうとした手を掴み、
そのまま薙ぎ倒した。",
send,,,,,,,一瞬の出来事に唖然とする男たち。,
send,,辰己,通常,パターン1,中央,膝上,"「てめぇら、誰に喧嘩売ってんのか
わかってんのか？」",
send,,辰己,怒,パターン1,中央,膝上,"「め組の辰己様に喧嘩を
ふっかけたんだ。それなりの覚悟は
できてるんだろうな？」",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,酔っ払い１,,,,,「め組の辰己だと！？」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,酔っ払い２,,,,,"「おい、やべぇぞ！こいつ喧嘩じゃ
江戸一って言われてるあの辰己
だろ！？」",
send,,辰己,怒,パターン1,中央,膝上,"「ついでに言っとく。こいつは俺の
女だ。手ぇ出したらただじゃ
おかねぇ！！」",
send,,,,,,,"沙夜の肩を抱き寄せてそう言い放つ
辰己。",
send,,酔っ払いたち,,,,,「す、すいやせんでしたー！！」,
send,,,,,,,男たちは一目散に逃げていった。,
bgmstop,,,,,,,,
bgmplay,nichijou02,,,,,,,
send,,辰己,通常,パターン1,中央,腰上,「ったく...おい何で赤くなってんだ？」,
send,,,,,,,沙夜を見ると頬」を赤く染めていた。,
draw,,辰己,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,"「それは…辰己さんがあんなこと
言うから」",
send,,辰己,通常,パターン1,中央,腰上,「俺の女ってやつか？事実だろ？」,
draw,,辰己,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,「そ、そうですけど…」,
send,,辰己,通常,パターン1,中央,腰上,"「まったく、1人になるとすぐに厄介事
に巻き込まれやがって」",
draw,,辰己,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,「すみません…」,
send,,辰己,通常,パターン1,中央,腰上,「とにかく、無事で良かった」,
draw,,辰己,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,"「はい！助けていただいて
ありがとうございます！」",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,,,,,,"今更ながら辰己が来てくれたことに
安堵を覚える。",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「ところで、どうして辰己さんは
ここに？」",
send,,辰己,通常,パターン1,中央,膝上,「お前を迎えに来た」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「私を？」,
