コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,
bgmplay,nichijou01,,,,,,,
back,玄関（め組）,,,,,,,
fadeout,1,,,,,,,
send,,,,,,,序章の最後を持ってくる予定,玄関（め組）
send,,辰己,通常,パターン1,中央,膝上,「こんなところで何してんだ?」,玄関（め組）
draw,,辰己,通常,パターン1,中央,膝上,,玄関（め組）
send,,沙夜,,,,,「あなたは...?」,玄関（め組）
send,,辰己,通常,パターン1,中央,膝上,"「[め組]の者(もん)だ。
 なんか用事でもあんのか?」",玄関（め組）
draw,,辰己,通常,パターン1,中央,膝上,,玄関（め組）
send,,沙夜,,,,,"「頭領の源七さんをお待ちしている
のですが...」",玄関（め組）
send,,辰己,驚,パターン1,中央,膝上,"「源さんを?
 あ、おまえ、もしかして...」",玄関（め組）
send,,辰己,通常,パターン1,中央,膝上,「いや、なんでもない」,玄関（め組）
send,,,,,,,"何か言いたそうな顔をしていた辰己
だが、沙夜を残し、詰所へと入って
いった。",玄関（め組）
fadein,1,,,,,,,
bgmstop,,,,,,,,
bgmplay,nichijou02,,,,,,,
back,広間,,,,,,,広間
fadeout,1,,,,,,,広間
send,,,,,,,"源七が来ると、沙夜は広間へ
通された。",広間
send,,源七,通常,パターン1,中央,膝上,"「あまり珍しいものなんてねえけど、
これからここで暮らすんだ。いろい
ろと教えてやらなきゃな」",広間
draw,,源七,通常,パターン1,中央,膝上,,広間
send,,沙夜,,,,,"「みなさんのお役に立てるように
精一杯頑張ります!!」",広間
send,,源七,通常,パターン1,中央,膝上,"「あまり気負うんじゃねえぞ。
家事は手伝いする者をつけるから
安心しろ」",広間
draw,,源七,通常,パターン1,中央,膝上,,広間
send,,沙夜,,,,,"「わかりました!
みなさんは今、どちらに?」",広間
send,,源七,通常,パターン1,中央,膝上,"「あぁ、火災の跡地に家を建てに
行っている」",広間
send,,源七,通常,パターン1,中央,膝上,"「まあ、壬さんの娘だからって
甘やかさねえからな」",広間
draw,,源七,通常,パターン1,中央,膝上,,広間
send,,沙夜,,,,,"「もちろんです!
みなさんのお役に立てるように、
頑張ります!」",広間
send,,源七,喜,パターン1,中央,膝上,「おっ、頼もしいな」,広間
draw,,源七,喜,パターン1,中央,膝上,,広間
send,,,,,,,"源七と話していると帰ってきた
[め組]の組員たちが広間へやって
きた。",広間
draw,,源七,通常,パターン1,中央,膝上,,広間
send,,組員１,,,,,"「源さん、こっちの建て直しは完了
だぜ」",広間
draw,,源七,通常,パターン1,中央,膝上,,広間
send,,組員２,,,,,「こっちは八割ほどだ」,広間
send,,源七,通常,パターン1,中央,膝上,"「おう、お疲れさん。
そうだ、みんな集まってくれ、紹介
したい人がいる」",広間
send,,,,,,,"源七の言葉に組員が集まりだす。
沙夜を見て、組員の口角が、少し
ばかり上がるのがうかがえた。",広間
send,,源七,通常,パターン1,中央,膝上,"「今日からここで世話役として働い
てもらう沙夜だ。沙夜は元頭領の
壬さんの娘さんだ」",広間
send,,源七,通常,パターン1,中央,膝上,「みんな、よろしく頼む」,広間
draw,,源七,通常,パターン1,中央,膝上,,広間
send,,沙夜,,,,,"「みなさんのお力になれるよう、
頑張りますので、よろしくお願い
します!!」",広間
send,,源七,通常,パターン1,中央,膝上,"「飯の支度や洗濯を手伝える者は
手伝ってやってくれ」",広間
send,,卯太郎,驚,パターン1,中央,膝上,「あの壬さんの娘さんかぁ~!」,広間
send,,卯太郎,喜,パターン1,中央,膝上,"「男の中に紅一点、華が咲いた感じ
だな!」",広間
draw,,卯太郎,喜,パターン1,中央,膝上,,広間
send,,組員３,,,,,「沙夜ちゃん、よろしくな!!」,広間
draw,,辰己,通常,パターン1,中央,膝上,,広間
send,,,,,,,"終始気に食わない表情の辰己。その
姿を見て心配した源七が辰己に声を
かけた。",広間
draw,,辰己,通常,パターン1,左,膝上,,広間
send,,源七,通常,パターン1,右,膝上,「どうした、辰己?」,広間
draw,,源七,通常,パターン1,右,膝上,,広間
send,,辰己,通常,パターン1,左,膝上,"「なあ源さん、壬さんの娘だから
ここに置くのか?」",広間
draw,,辰己,通常,パターン1,左,膝上,,広間
send,,源七,通常,パターン1,右,膝上,"「壬さんの頼みってのはあるが、
それだけじゃねえ」",広間
draw,,辰己,通常,パターン1,中央,膝上,,広間
send,,,,,,,"辰己の中で抑えていた気持ちが一気
に爆発した。",広間
bgmstop,,,,,,,,
send,,辰己,怒,パターン1,中央,膝上,"「俺は認めねえからな!!
町火消二番組め組さまに女は
いらねえ」",広間
draw,,辰己,通常,パターン1,左,膝上,,広間
send,,源七,怒,パターン1,右,膝上,"「辰己、おめえも壬さんに世話に
なったんだ、そんなみっともねえ
こと言ってんじゃねえ」",広間
draw,,源七,怒,パターン1,右,膝上,,広間
send,,辰己,怒,パターン1,左,膝上,"「そもそも火消は男の仕事だろ?
女の出る幕じゃねえ!」",広間
draw,,辰己,怒,パターン1,左,膝上,,広間
send,,卯太郎,汗,パターン1,右,膝上,"「まあまあ、いいじゃん辰己!
オレは素直にうれしいけどなぁ」",広間
draw,,卯太郎,汗,パターン1,右,膝上,,広間
send,,辰己,怒,パターン1,左,膝上,「おまえまで俺を否定するのかよ」,広間
draw,,辰己,怒,パターン1,左,膝上,,広間
send,,卯太郎,呆,パターン1,右,膝上,"「否定って...。
そういうつもりじゃないけど」",広間
send,,辰己,通常,パターン1,中央,膝上,"「...百歩譲って、ここにいてもいい。
だけど、俺はおまえを仲間だと
認めねえ!」",広間
send,,辰己,怒,パターン1,中央,膝上,「それだけは覚えてやがれ」,広間
draw,,辰己,通常,パターン1,中央,膝上,,広間
send,,沙夜,,パターン1,,,「は、はい...」,広間
fadein,1,,,,,,,
back,黒,,,,,,,
fadeout,1,,,,,,,
draw,,辰己,通常,パターン1,中央,膝上,,黒
send,,,,,,,"辰己に圧倒され、広間は静寂に
包まれた。",黒
sceneEnd,,,,,,,,
