コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト
back,広間,,,,,,
fadeout,1,,,,,,
draw,,辰己,怒,パターン1,左,膝上,"辰己に圧倒され、広間は静寂に
包まれた。"
draw,,酉助,通常,パターン1,右,膝上,
send,,,,,,,その静寂を破ったのは酉助だった。
bgmplay,nichijou01,,,,,,
send,,酉助,通常,パターン1,中央,膝上,"「それより源さん。
沙夜ちゃんには詰所の中を案内
したの?」"
draw,,酉助,通常,パターン1,右,膝上,
send,,源七,通常,パターン1,左,膝上,"「いやぁ、それがまだなんだ。
...そのことなんだけどよ、
辰己」"
draw,,源七,通常,パターン1,右,膝上,
send,,辰己,通常,パターン1,左,膝上,「あぁ?」
draw,,辰己,通常,パターン1,左,膝上,
send,,源七,通常,パターン1,右,膝上,"「おまえに案内を任せる。
他の者は解散してくれ」"
send,,,,パターン1,,,"その言葉を合図に組員たちは
解散していった。"
send,,辰己,驚,パターン1,中央,膝上,「俺はやらねえぞ」
draw,,辰己,驚,パターン1,左,膝上,
send,,源七,怒,パターン1,右,膝上,"「それは困る。沙夜と仲良くなる
いい機会じゃねえか」"
draw,,源七,怒,パターン1,右,膝上,
send,,辰己,怒,パターン1,左,膝上,"「俺は仲良くなる気なんてねえ。
他の者に任せればいいだろ?」"
draw,,辰己,怒,パターン1,左,膝上,
send,,源七,通常,パターン1,右,膝上,"「俺はおまえに任せたいんだ。
じゃあ、あとはよろしくな」"
draw,,辰己,汗,パターン1,中央,膝上,
send,,,,パターン1,,,"辰己に案内役を任せ、源七は
その場を去ってしまった。"
draw,,辰己,汗,パターン1,中央,膝上,
send,,,,パターン1,,,"不満そうな表情のまま辰己は案内役
を他の人に押し付けようとしていた。"
draw,,卯太郎,通常,パターン1,右,膝上,
send,,辰己,通常,パターン1,左,膝上,"「おい、うた。おまえもう仕事
ねえよな?」"
draw,,辰己,通常,パターン1,左,膝上,
send,,卯太郎,喜,パターン1,右,膝上,"「残念!オレは源さんに任された
お遣いって仕事が...」"
draw,,卯太郎,喜,パターン1,右,膝上,
send,,辰己,汗,パターン1,左,膝上,"「ちっ...
酉助さんの方がこういうの
向いてるだろ?」"
draw,,辰己,汗,パターン1,左,膝上,
send,,酉助,喜,パターン1,右,膝上,"「残念だけど、俺は別でやることが
 あるから」"
draw,,酉助,喜,パターン1,右,膝上,
send,,辰己,怒,パターン1,左,膝上,"「ここの案内なんて
すぐ終わるだろ!!」"
draw,,酉助,通常,パターン1,右,膝上,
send,,辰己,汗,パターン1,左,膝上,「なあ、頼むよ酉助さん!!」
draw,,辰己,汗,パターン1,左,膝上,
send,,酉助,喜,パターン1,右,膝上,"「源さんに頼まれたのはおまえ
だろ?案内なんてすぐ終わるよね?
 任せたよ」"
draw,,辰己,汗,パターン1,左,膝上,
send,,,,,,,"有無を言わさず辰己に案内役を
させた酉助はその場を去って
しまった。"
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"広間に残った辰己と沙夜の2人の
間に、重苦しい空気が流れていた。"
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,パターン1,,,"その空気を断ち切ったのは沙夜
だった。"
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「あ、あの辰己さん...」
send,,辰己,通常,パターン1,中央,膝上,「あ?」
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,パターン1,,,「私ひとりで回りますので、その...」
send,,辰己,怒,パターン1,中央,膝上,"「女ひとりで歩き回られたら
俺が迷惑だ」"
draw,,辰己,怒,パターン1,中央,膝上,
send,,沙夜,,,,,「そう言われましても...」
send,,辰己,呆,パターン1,中央,膝上,"「あーくそっ!なんで俺が
こんなことを...」"
send,,辰己,汗,パターン1,中央,膝上,「さっさと終わらせてやる」
send,,辰己,通常,パターン1,中央,腰上,「おい、ついてこい」
send,,,,,,,"沙夜は、仏頂面で広間から
出て行ってしまった辰己の
後を追いかけた。"
fadein,1,,,,,,
back,台所,,,,,,
fadeout,1,,,,,,
send,,,,,,,"不機嫌な表情を浮かべつつ、
しっかりと案内役をこなす辰己。"
send,,辰己,通常,パターン1,中央,膝上,"「ここは台所だ。朝昼晩の飯は
ここで作って広間で食う」"
send,,辰己,通常,パターン1,中央,膝上,"「食材の調達は担当がいるから
後で紹介する」"
send,,辰己,通常,パターン1,中央,膝上,「次行くぞ」
send,,沙夜,,,,,「は、はい!」
fadein,1,,,,,,
back,庭（昼）,,,,,,
fadeout,1,,,,,,
send,,辰己,呆,パターン1,中央,膝上,"「この庭は洗濯して干すことくらい
しか使わねえな...。
水は井戸から汲んで使う」"
send,,辰己,通常,パターン1,中央,膝上,"「あ、野良猫がいたずらすることも
 あるから気を付けておけよ」"
send,,辰己,通常,パターン1,中央,膝上,「次だ」
fadein,1,,,,,,
back,主人公の部屋,,,,,,
fadeout,1,,,,,,
send,,辰己,通常,パターン1,中央,膝上,"「ここがおまえの部屋。
向かいは酉助さんで隣は俺と
卯太郎だ」"
send,,辰己,通常,パターン1,中央,膝上,"「これで一応終わりだけど、
わかんねえところは?」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「ないです!」
send,,辰己,通常,パターン1,中央,膝上,「んじゃ広間に戻るぞ」
fadein,1,,,,,,
back,広間,,,,,,
fadeout,1,,,,,,
send,,,,,,,"広間へ戻ると、酉助や卯太郎たちが
集まって談笑していた。"
draw,,辰己,通常,パターン1,左,膝上,
send,,卯太郎,喜,パターン1,右,膝上,「お、辰己!案内役お疲れ!!」
draw,,卯太郎,喜,パターン1,右,膝上,
send,,辰己,通常,パターン1,左,膝上,「おう...」
draw,,辰己,通常,パターン1,左,膝上,
send,,酉助,喜,パターン1,右,膝上,"「あ、辰己。
案内ごくろうさま」"
draw,,酉助,喜,パターン1,右,膝上,
send,,辰己,呆,パターン1,左,膝上,"「はぁ...。
これなら現場で木材運ぶ方が
よっぽどマシだ」"
draw,,辰己,呆,パターン1,左,膝上,
send,,酉助,通常,パターン1,右,膝上,"「源さんに任された仕事なんだから、
しっかりやらないとな」"
draw,,酉助,通常,パターン1,右,膝上,
send,,辰己,汗,パターン1,左,膝上,「なんで俺がこんなことを...」
draw,,辰己,汗,パターン1,左,膝上,
send,,酉助,喜,パターン1,右,膝上,"「辰己だから任せたんじゃない?
とりあえず、源さんに報告
行ってこい」"
send,,,,パターン1,,,"大きなため息とともに辰己は源七の
元へ向かっていった。"
draw,,酉助,通常,パターン1,中央,腰上,
send,,,,,,,"酉助は辰己の姿が見えなくなった
ことを確認し、沙夜に声をかけた。"
send,,酉助,通常,パターン1,中央,腰上,「詰所のことはわかった?」
draw,,酉助,通常,パターン1,中央,腰上,
send,,沙夜,,,,,"「はい!
しっかり教えてもらいました!」"
send,,酉助,喜,パターン1,中央,腰上,"「それならよかった。
他に何か聞いておきたいこととか
ある?」"
choice,6,,,,,,辰己のこと
choice,3,,,,,,酉助のこと
choice,4,???,,,,,め組のこと
draw,,酉助,通常,パターン1,中央,腰上,
send,,沙夜,,,,,「......」
send,,酉助,通常,パターン1,中央,腰上,「ん?どうかした?」
draw,,酉助,通常,パターン1,中央,腰上,
send,,沙夜,,パターン1,,,"「...私はここにいてもいいんで
しょうか」"
send,,酉助,通常,パターン1,中央,腰上,「何でそう思うの?」
draw,,酉助,通常,パターン1,中央,腰上,
send,,沙夜,,,,,"「辰己さん、あんなに何度も女は
いらないっておっしゃって
いたので...」"
send,,酉助,汗,パターン1,中央,腰上,「......」
draw,,酉助,汗,パターン1,中央,腰上,
send,,沙夜,,,,,"「父がいるわけでもないですし、
現場で働けるわけでもないので...」"
send,,酉助,喜,パターン1,中央,腰上,「そんなに気負う必要ないよ」
send,,酉助,喜,パターン1,中央,腰上,"「辰己は確かにあぁ言ったけど、君
の頑張り次第では認めてくれるかも
しれないよ?」"
draw,,酉助,通常,パターン1,中央,腰上,
send,,沙夜,,パターン1,,,「そうなるといいんですけど...」
send,,酉助,喜,パターン1,中央,腰上,"「まあ、あまり考えすぎないで。
何かあったら俺に相談しろよ?」"
draw,,酉助,喜,パターン1,中央,腰上,
send,,沙夜,,,,,「はい...」
send,,,,,,,"そうして酉助はその場を去って
いった。"
fadein,1,,,,,,
back,主人公の部屋（夜）,,,,,,
fadeout,1,,,,,,
send,,,,,,,その日の夜。
send,,,,,,,"昼間、辰己に言われたことが沙夜の
不安を大きくしていた。"
send,,沙夜,,,,,(“火消に女はいらねえ”か...。)
send,,沙夜,,,,,"(でも、ここで怖気づいてたらだめ
ね。何と言われようと、私はここで
の役割をこなさないと...)"
send,,沙夜,,,,,"め組の一員として、新たな生活が
始まった沙夜は、やる気と同じ
くらいの不安を抱えていた。"
sceneEnd,,,,,,,
draw,辰己のこと,酉助,通常,パターン1,中央,腰上,
send,,沙夜,,,,,"「辰己さんって普段はどんな感じ
なんですか?」"
send,,酉助,喜,パターン1,中央,腰上,"「どんな感じ、か...。
みんなの中心にいるような
いいやつだよ」"
send,,酉助,喜,パターン1,中央,腰上,「答えになってるかな?」
draw,,酉助,通常,パターン1,中央,腰上,
send,,沙夜,,パターン1,,,「そうなんですか...」
return,,,,,,,
draw,酉助のこと,酉助,通常,パターン1,中央,腰上,
send,,沙夜,,,,,"(酉助さんってどんな人なんだろ
う?)"
send,,酉助,通常,パターン1,中央,腰上,"「なにか詰所の気になるところでも
あった?」"
draw,,酉助,通常,パターン1,中央,腰上,
send,,沙夜,,,,,「いえ、なんでもないです!」
send,,酉助,汗,パターン1,中央,腰上,"「そう...。
何か困ったことがあったら
聞いてね」"
return,,,,,,,
draw,め組のこと,酉助,通常,パターン1,中央,腰上,
send,,沙夜,,,,,「みなさん仲良いですね」
send,,酉助,通常,パターン1,中央,腰上,"「お互いが信頼し合ってるから、
そう見えるのかもしれない」"
draw,,酉助,通常,パターン1,中央,腰上,
send,,沙夜,,,,,「私も馴染めるでしょうか...」
send,,酉助,喜,パターン1,中央,腰上,「大丈夫、みんな君を歓迎してるよ」
return,,,,,,,
