コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景画像,BGM,SE
back,町,,,,,,,,,
fadeout,1,,,,,,,,,
send,,,,,,,"辰己とやってきたのはとある
広小路",町,,
send,,,,,,,"ここは辰己の生まれた家のあった
場所であった。",町,,
send,,,,,,,"ここで辰己から自身の過去を
明かされる。",町,,
send,,,,,,,辰己はとある絵師の家に生まれた。,町,,
send,,,,,,,"優しい両親と幸せな毎日を過ごして
いたが、9歳の時に起こった火災で
両親を亡くしてしまう。",町,,
send,,,,,,,"その火災はある商家で盗みを働いた
犯人が証拠隠滅のために起こした
ものである。",町,,
send,,,,,,,"炎に囲まれる中、生き残ったのは
辰己だけであった。",町,,
send,,,,,,,"犯人の身勝手な理由で両親を
奪われた辰己。",町,,
send,,,,,,,"重傷を負っていた辰己は壬に
助けられ、意識を取り戻す。",町,,
send,,,,,,,"行く宛てのない彼をめ組で引取り、
火消（鳶職人）として育てる
ことに。",町,,
send,,,,,,,"自分を救ってくれた壬さんへの感謝
の気持ち",町,,
send,,,,,,,"そして自分から家族を奪った犯人
への憎しみから火消になることを
決意。",町,,
send,,,,,,,"今では火事から人びとを守る役目に
誇りを感じている。",町,,
send,,,,,,,"自分の様な思いをする人間を
出さないために。",町,,
sceneEnd,,,,,,,,,,
