コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmPlay,love,,,,,,,
back,庭（夜）,,,,,,,
fadeout,1,,,,,,,
draw,,辰己,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,「た、辰己さん……？」,
send,,辰己,通常,パターン1,中央,腰上,"「丙治さんが妻と娘を愛してた
気持ちとは少し違うかもしれねえ」",
send,,辰己,通常,パターン1,中央,腰上,"「でも、愛する人を亡くした人の
痛みを考えようと思った時……」",
send,,辰己,通常,パターン1,中央,腰上,"「自分の愛する人ってのは誰かを
考えた時、
お前しか浮かばなかった」",
send,,辰己,通常,パターン1,中央,腰上,"「……なのに、頭の中でさえお前を
死なせることも出来なかった
なんて言ったら」",
send,,辰己,通常,パターン1,中央,腰上,"「……本末転倒だって、
お前は笑うか？」",
draw,,辰己,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,(え……？),
send,,辰己,通常,パターン1,中央,腰上,"「俺は、お前に惚れてる。本当は、
誰よりも守ってやりたい女だ」",
draw,,辰己,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,（辰己さん……）,
draw,,辰己,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,「……私も、辰己さんが好きです」,
send,,辰己,驚,パターン1,中央,腰上,「……本当か？」,
draw,,辰己,驚,パターン1,中央,腰上,,
send,,沙夜,,,,,「嘘でこんなこと言いません……」,
draw,,辰己,喜,パターン1,中央,腰上,,
send,,,,,,,"沙夜の言葉に辰己が小さく笑った。
しかし次の瞬間には、
その吐息が切実なものへと変わる。",
send,,辰己,通常,パターン1,中央,膝上,「今日こんなことを告げたのは…」,
send,,辰己,通常,パターン1,中央,膝上,"「丙治さんと向き合う前に、
自分のことをどうにか片付けて
おきたかったからだ」",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「片付けておきたい……って…？」,
send,,辰己,怒,パターン1,中央,膝上,"「実はこの間、
丙治さんと約束したんだ。
明日、丙治さんに会ってくる」",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,沙夜,,,,,「えっ……？」,
send,,辰己,怒,パターン1,中央,膝上,"「俺は明日、あの人を説得しに行く。
あの人は、俺を仲間にしようと
してるのかもしれねえけどな」",
send,,辰己,怒,パターン1,中央,膝上,"「……死罪は免れないとしても
……俺は、火消しとして
そうするべきだと思った」",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,沙夜,,,,,(……辰己さん、本気なんだ……),
draw,,辰己,怒,パターン1,中央,膝上,,
send,,,,,,,"そう語る辰己の横顔で、
辰己がこれまで部屋にこもりきりに
なって固めた決意の重みを感じる。",
send,,辰己,通常,パターン1,中央,膝上,「沙夜」,
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「はい」,
send,,辰己,通常,パターン1,中央,膝上,"「ひとつだけ、
聞いておきたいことがある」",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「なんですか……？」,
send,,辰己,通常,パターン1,中央,膝上,"「俺は、火消しとして生きるって
決めた」",
send,,辰己,通常,パターン1,中央,膝上,"「それはお前の親父さんと
約束したことだし、
俺自身がめ組に入る時決めたことだ」",
send,,辰己,通常,パターン1,中央,膝上,「今はこの仕事に、誇りもある」,
send,,辰己,怒,パターン1,中央,膝上,"「だから、この事件が解決したら、
お前はここを出ろ」",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,沙夜,,,,,「…え？」,
send,,辰己,通常,パターン1,中央,膝上,"「すでに俺が話をつけた家が
あるからそこに嫁に行け」 ",
draw,,辰己,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,(この間の、結婚の話……？),
fadein,5,,,,,,,
back,広間,,,,,,,広間
fadeout,5,,,,,,,
send,,辰己,通常,パターン1,左,膝上,"「あいつの幸せとか考えるとな。
……そりゃ年頃の女だし」",
send,,辰己,通常,パターン1,左,膝上,"「ここにいてもいつまでも
生きてられるとは限らねえだろ」",
send,,酉助,汗,パターン1,右,膝上,"「……彼女は責任感が強いからね。
必ず火事場に来るし、
お前の心配も少しは分かる」",
send,,酉助,通常,パターン1,右,膝上,「だけど――」,
fadein,5,,,,,,,
back,庭（夜）,,,,,,,庭（夜）
