コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmPlay,nichijou01,,,,,,,
back,川,,,,,,,川
fadeout,2,,,,,,,
send,,酉助,通常,パターン1,中央,膝上,「...」,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,,,,,,"酉助は何も言わず、お酒を飲み
始めた。",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「無理して飲まなくていいですよ?」,
send,,酉助,喜,パターン1,中央,膝上,「うん。沙夜ちゃんも飲む?」,
draw,,酉助,喜,パターン1,中央,膝上,,
send,,沙夜,,,,,「いえ、私は...」,
send,,酉助,喜,パターン1,中央,腰上,"「沙夜ちゃん、可愛いよね
「なんだろう、ずっとこうして
抱きしめていたい」",
draw,,酉助,喜,パターン1,中央,腰上,,
send,,,,,,,"隣に座っていた沙夜を抱き寄せて、
頭をなで始めた酉助。",
draw,,酉助,喜,パターン1,中央,膝上,,
send,,沙夜,,,,,「酉助さんもうお酒だめです!」,
send,,酉助,照,パターン1,中央,膝上,「なんで...?」,
send,,酉助,照,パターン1,中央,膝上,"「俺はもっとこうして沙夜ちゃんに
触れてたいのに」",
draw,,酉助,照,パターン1,中央,膝上,,
send,,,,,,,"周りに人がいるのを気にせず、
酉助は沙夜に迫った。",
draw,,酉助,照,パターン1,中央,膝上,,
send,,沙夜,,,,,「酉助さん!部屋に戻りますよ!」,
send,,酉助,驚,パターン1,中央,膝上,「え...、ちょっと！」,
send,,,,,,,"沙夜は強引に酉助を部屋へ連れて
行った。",
fadein,2,,,,,,,
bgmstop,,,,,,,,
back,主人公の部屋（夜）,,,,,,,
bgmPlay,nichijou02,,,,,,,
fadeout,2,,,,,,,
send,,沙夜,,,,,"「酔いすぎです!
今日はもう休んでください!」",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,,,,,,"布団を敷き、酉助を寝かせようと
したが、腕を掴まれ、そのまま酉助の
腕に包まれた。",
draw,,酉助,通常,パターン1,中央,腰上,,
send,,沙夜,,,,,「わっ！？」,
send,,酉助,照,パターン1,中央,腰上,「落ち着く...」,
send,,酉助,照,パターン1,中央,腰上,「ずっとこうしてたい」,
draw,,酉助,照,パターン1,中央,腰上,,
send,,沙夜,,,,,「酉助さん…」,
draw,,酉助,照,パターン1,中央,腰上,,
send,,沙夜,,,,,"「私も落ち着きます...。
幸せな気持ちになります」",
send,,酉助,照,パターン1,中央,腰上,"「沙夜ちゃん、これからもずっと
そばにいてね」",
send,,,,,,,"沙夜を抱きしめたまま、酉助は
眠ってしまった。",
send,,沙夜,,,,,「私はずっとそばにいますよ」,
send,,沙夜,,,,,"「酉助さんも、私を離さないで
くださいね」",
send,,,,,,,"眠っていた酉助が微笑んで
いるようにみえた。",
send,,,,,,,"沙夜は、そのまま酉助の腕の中で 
眠りについたのだった。",
sceneEnd,,,,,,,,
