コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmPlay,nichijou01,,,,,,,
back,玄関（め組）,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,"2人そろっての休日。
久しぶりにゆっくりとした時間が
ながれる。",
send,,酉助,通常,パターン1,中央,膝上,"「2人で休みもらえるなんて、
源さんも粋だね」",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「そうですね！
酉助さんと一緒にすごせるの楽しみ
だったんです」",
send,,酉助,喜,パターン1,中央,膝上,「俺もだよ」,
draw,,酉助,喜,パターン1,中央,膝上,,
send,,沙夜,,,,,"「今日は何しますか？町に
行ったり、部屋でのんびりしたり、
なんでもできますよ！」",
send,,酉助,通常,パターン1,中央,膝上,「沙夜ちゃんの家に行きたいな」,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「私の家、ですか？
行っても何もないですよ？」",
send,,酉助,通常,パターン1,中央,膝上,「君の育った家をみておきたい」,
send,,酉助,通常,パターン1,中央,膝上,"「しそれに沙夜ちゃんと壬さんの
話とかも聞いてみたいな」",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「それじゃ…
家はそのまま残ってるので、
行ってみますか？」",
send,,酉助,喜,パターン1,中央,膝上,「うん、行こう」,
send,,,,,,,"そうして2人は沙夜の家へと
向かった。",
fadein,2,,,,,,,
back,町並み,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,"詰所から少し歩いたところに
沙夜の家はある。",
send,,,,,,,"沙夜は父・壬との思い出を
振り返っていた。",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「昔、私が熱を出したときに、
走って帰ってきてくれたことも
あったんです」",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「懐かしいなぁ…」,
send,,酉助,通常,パターン1,中央,膝上,"「壬さんは沙夜ちゃんが本当に大切
だったんだよ」",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「私も父が大好きです
たった一人の大切な家族
でしたから…」",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「でも、今はもちろん酉助さんの
ことも大切に思ってます！」",
send,,酉助,喜,パターン1,中央,膝上,「そう言ってくれると嬉しいよ」,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「あそこにある家が私の家です」,
send,,酉助,通常,パターン1,中央,膝上,「結構近くだね」,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「そうなんです。
どうぞ、あがってください」",
send,,酉助,通常,パターン1,中央,膝上,「お邪魔します」,
fadein,2,,,,,,,
back,主人公の部屋,,,,,,,
fadeout,2,,,,,,,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「今は母方の親戚がたまに来る
みたいです」",主人公の部屋
send,,酉助,通常,パターン1,中央,膝上,「だから部屋もきれいなんだね」,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「うちに来ても、何もすること
ないですよね…
近くを散歩しませんか？」",
send,,酉助,喜,パターン1,中央,膝上,「うん、いいよ」,
fadein,2,,,,,,,
bgmstop,,,,,,,,
back,川,,,,,,,
bgmPlay,evening,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,"2人で河原へ行くと、子供たちが
遊んでいた。",川
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「私もよくここで遊んでたんです」,
send,,酉助,通常,パターン1,中央,膝上,「壬さんと？」,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「はい。いろんなことを
教えてくれました」",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「風が読めるようになったのも
父の影響かもしれません」",
send,,酉助,呆,パターン1,中央,膝上,"「君の力には本当に驚かされたよ
何かコツがあるのかい？」",
draw,,酉助,呆,パターン1,中央,膝上,,
send,,沙夜,,,,,"「何も考えないで風の音を聞くと、
わかるんです」",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「はじめは私もこの力が特別な
ものだとは思いませんでした」",
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「よく河原で風の音聞いてまいた」,
send,,酉助,哀,パターン1,中央,膝上,"「俺にも親との特別な時間が
あったら、少しは違ってたのかも
しれないな」",
draw,,酉助,汗,パターン1,中央,膝上,,
send,,沙夜,,,,,「今は、特別じゃないですか？」,
send,,酉助,汗,パターン1,中央,膝上,「え？」,
draw,,酉助,汗,パターン1,中央,膝上,,
send,,沙夜,,,,,"「私は、酉助さんとの時間は特別
だと思ってますよ」",
send,,酉助,通常,パターン1,中央,膝上,「沙夜ちゃん…」,
send,,酉助,喜,パターン1,中央,膝上,"「俺も、そう思う。
急に可愛いこと言い出すように
なったね、沙夜ちゃん」",
draw,,酉助,喜,パターン1,中央,膝上,,
send,,沙夜,,,,,"「そんなことないです！
思ったことを言っただけですよ！」",
send,,酉助,喜,パターン1,中央,腰上,"「そう思ってくれて、俺も嬉しい。
そういう君だから
好きになったんだ」",
draw,,酉助,喜,パターン1,中央,腰上,,
send,,,,,,,"そういって、沙夜を優しく
抱きしめた。",
fadein,2,,,,,,,
back,主人公の部屋,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,"沙夜にとって思い出深い場所を
めぐり、2人は沙夜の家へ
戻ってきた。",主人公の部屋
send,,酉助,通常,パターン1,中央,膝上,「そろそろ詰所に帰ろうか」,
draw,,酉助,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,「…なんだか寂しいですね」,
send,,酉助,哀,パターン1,中央,膝上,「どうして？」,
draw,,酉助,哀,パターン1,中央,膝上,,
send,,沙夜,,,,,"「2人きりの時間が楽しくて、
あっという間に過ぎてしまって…
少し寂しいです」",
send,,酉助,通常,パターン1,中央,膝上,「……」,
send,,酉助,喜,パターン1,中央,膝上,「今日は2人だけでいようか？」,
sceneEnd,,,,,,,,
