コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmPlay,nichijou01,,,,,,,
back,町並み,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,"嘉永三年、五月。
風の強い日だった。",
send,,沙夜,,,,,"（父様に頼まれていたお薬は、
これで全部買ったし……)",
send,,沙夜,,,,,"（夕飯の食材で足りないものは、
何かあったかな？）",
send,,,,,,,"沙夜は考えを巡らせながら、
町の中を歩いていた。",
send,,,,,,,"め組の元頭取の娘として生まれた
沙夜。父の壬の愛を多く受けて
育った。",
send,,,,,,,"壬は大きな怪我を負い、数年前に
火消を引退。今は感染症を併発し、
家で沙夜と慎ましく生活している。 ",
send,,沙夜,,,,,"（あ……風向きが変わる気がする。
北西の風だったのに、南東の風に
変わるんだ……）",
send,,沙夜,,,,,（この季節にしては珍しいな……）,
send,,,,,,,"自身の鼻先をかすめるその予兆に、
沙夜は空を見上げた。",
send,,,,,,,"雲の流れが遅い。風も止んだ。
風向きの変わる証拠であった。",
send,,,,,,,"生まれついて持ったこの能力に、
幼い頃は他者との隔たりを
感じたこともあったが",
send,,沙夜,,,,,"現在は生活において欠かせないもの
となった。",
send,,沙夜,,,,,"（今日は帰ったら、父様のために
続きの医学書を読んで……――）",
bgmstop,,,,,,,,
send,,,,,,,"沙夜の思考を遮るように、
けたたましい半鐘の音が響いた。",
send,,,,,,,"何度も鳴らされるその音は、
火元が近い証拠である。",
send,,沙夜,,,,,（か、火事……！？）,
fadein,2,,,,,,,
back,火事（昼）,,,,,,,
bgmPlay,kinpaku,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,"町に並ぶ家や店からは一斉に
人々が溢れ出した。
その人々が見るのは沙夜の背後。",火事（昼）
send,,,,,,,沙夜も振り返り、炎を見た。,
send,,沙夜,,,,,"（ひどい火災になりそう……！
これじゃ北西にある私の家も……
父様のところへ早く帰らなきゃ！）",
send,,,,,,,"しかし駆け出したのは、
沙夜だけではない。",
send,,,,,,,"通りは人で埋め尽くされ、
思うように進めない。",
send,,辰己,怒,パターン1,中央,膝上,"「おい、てめえら！　道を開けろ！
火事から逃げてぇなら、俺らを
先に通せ！！」",
send,,,,,,,"怒りの滲んだその声はよく響いた。
周囲の人々はさっと道の端によけ、
声の主たちを通す。",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,町人1,,,,,「よかった……め組だ」,
draw,,辰己,怒,パターン1,中央,膝上,,
send,,町娘1,,,,,「早く火を消してくださいな！」,
draw,,辰己,怒,パターン1,中央,膝上,,
send,,町娘2,,,,,「纏持ちの辰己様よ」,
draw,,辰己,怒,パターン1,中央,膝上,,
send,,,,,,,"沙夜もめ組が通るのを見つめること
しか出来ない。",
draw,,辰己,怒,パターン1,中央,膝上,,
send,,,,,,,"め組は堂々とした態度で道の真中を
疾走してゆく。",
draw,,辰己,怒,パターン1,左,膝上,,
send,,酉助,怒,パターン1,右,膝上,"「辰己、風が止んでいる今のうちに
延焼を止めるぞ」",
draw,,酉助,怒,パターン1,右,膝上,,
send,,辰己,通常,パターン1,左,膝上,「そうだな。……源さん頼む」,
draw,,卯太郎,通常,パターン1,左,膝上,,
send,,源七,怒,パターン1,右,膝上,"「ああ。
さっき、風は北西に吹いていたね？」",
draw,,源七,怒,パターン1,右,膝上,,
send,,卯太郎,通常,パターン1,左,膝上,「うん、そうだよ」,
draw,,卯太郎,通常,パターン1,左,膝上,,
send,,源七,通常,パターン1,右,膝上,"「じゃあ南東側の方角にある家を
壊そう」",
draw,,卯太郎,通常,パターン1,左,膝上,,
draw,,源七,通常,パターン1,右,膝上,,
send,,沙夜,,,,,（違う、そっちじゃない……！）,
draw,,卯太郎,通常,パターン1,左,膝上,,
draw,,源七,通常,パターン1,右,膝上,,
send,,,,,,,"そう感じた瞬間、
沙夜の身体は自然と動いていた。",
draw,,卯太郎,通常,パターン1,左,膝上,,
send,,源七,通常,パターン1,右,膝上,「辰己、あの家の屋根へ――」,
draw,,源七,通常,パターン1,中央,膝上,,
send,,沙夜,,,,,"「違います！　これから、南東の
風が吹き始めます……！！」",
draw,,源七,通常,パターン1,中央,膝上,,
send,,,,,,,"沙夜は指示を出していた頭取の男の
前へと飛び出した。",
send,,源七,通常,パターン1,中央,膝上,"「おや……君、どこかで見たことが
あるような……」",
draw,,源七,通常,パターン1,中央,膝上,,
send,,,,,,,"そう首を傾げる男を押しのけ、
後ろから切れ長の瞳の男が
出て来る。",
send,,酉助,驚,パターン1,中央,膝上,"「君……ここは危険だから、
早く避難しなさい。この道を
真っすぐ行けば川に着くから」",
draw,,酉助,驚,パターン1,中央,膝上,,
send,,沙夜,,,,,"「その、違って……私、風の吹く
方向がわかるんです！　これから、
東南の風が――」",
draw,,酉助,汗,パターン1,右,膝上,,
send,,辰己,怒,パターン1,左,膝上,"「おいてめえ。俺たちの邪魔を
して何になるっていうんだ」 ",
draw,,辰己,怒,パターン1,左,膝上,,
draw,,酉助,汗,パターン1,右,膝上,,
send,,,,,,,"怒気を含んだその声に、
沙夜は一瞬怯む。",
draw,,辰己,怒,パターン1,左,膝上,,
draw,,酉助,汗,パターン1,右,膝上,,
send,,,,,,,"しかしぐっと歯を食いしばり、
もう一度大きく前に出て主張した。",
draw,,辰己,怒,パターン1,左,膝上,,
draw,,酉助,汗,パターン1,右,膝上,,
send,,沙夜,,,,,"「今、南東の方角の家を壊しても、
延焼は食い止められません！」",
draw,,辰己,怒,パターン1,左,膝上,,
draw,,酉助,汗,パターン1,右,膝上,,
send,,沙夜,,,,,"私の家も……ここから北西の方角に
あるんです、
だから嘘なんかつきません……！」",
send,,源七,通常,パターン1,中央,膝上,「しかし……」,
draw,,源七,通常,パターン1,右,膝上,,
send,,卯太郎,呆,パターン1,左,膝上,"「そんなこと言われてもなぁ……。
オレたちだってお前が嘘をついてる
とは思ってないんだけど……」",
send,,辰己,怒,パターン1,中央,膝上,"「んなガキにかまってられるか！
いいからどいてろ！」",
draw,,辰己,怒,パターン1,左,膝上,,
send,,源七,通常,パターン1,右,膝上,"「ああ！　思い出した、君、
壬さんの娘さんか！」",
draw,,辰己,怒,パターン1,左,膝上,,
draw,,源七,通常,パターン1,右,膝上,,
send,,沙夜,,,,,「そうです！」,
draw,,辰己,怒,パターン1,左,膝上,,
send,,源七,通常,パターン1,右,膝上,"「そういや娘さんが風の吹く方角を
予知できると話していた。
ここは信じてみよう」",
draw,,辰己,怒,パターン1,左,膝上,,
draw,,源七,通常,パターン1,右,膝上,,
send,,沙夜,,,,,「ありがとうございます……！」,
draw,,源七,通常,パターン1,右,膝上,,
send,,辰己,驚,パターン1,左,膝上,「源さん……！」,
send,,源七,通常,パターン1,中央,膝上,"「おい、お前たち！
北西の家を壊せ！！」",
send,,,,,,,"その後沙夜が言った通り南東の風が
吹き始めた。",
send,,,,,,,"北西の家を壊していたおかげで
その日の火災は、最小限の被害で
済んだ――。",
draw,,一午,通常,パターン2,中央,膝上,,
send,,？？？,,,,,「・・・・・」,
fadein,2,,,,,,,
bgmstop,,,,,,,,
back,広間（夜）,,,,,,,
bgmPlay,kanashimi,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,あの火災からおよそ二ヶ月後……。 ,
send,,沙夜,,,,,（……とうとう、一人ぼっちか）,
send,,,,,,,"沙夜は静かな広間を見渡した。
葬儀を終え、一人になると急に胸へ
寂しさが押し寄せた。",
send,,沙夜,,,,,"（……明日から、父様のお友達の
いらっしゃるめ組の詰所に
住むんだよね）",
send,,,,,,,"（それまでに、
お掃除を終わらせなくちゃ……）",
send,,,,,,,"沙夜は一人でいることを忘れようと
無心で掃除を始めた……。",
fadein,2,,,,,,,
bgmstop,,,,,,,,
back,玄関（め組）,,,,,,,
bgmPlay,nichijou02,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,"翌朝。
沙夜はめ組の詰所の前に
立っていた。",
send,,沙夜,,,,,"（め組の詰所で世話役なんて……
私にできるのかな……？）",
send,,沙夜,,,,,"（ここで源七さんを
お待ちしていたらいいって文には
書いてあったけど……）",
