コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト
back,玄関(め組),,,,,,
bgmPlay,nichijou02,,,,,,
fadeout,1,,,,,,
send,,酉助,通常,パターン1,中央,膝上,「きみは…」
send,,酉助,喜,パターン1,中央,膝上,"「この前の火災の時の…
あの時はありがとう」"
draw,,酉助,喜,パターン1,中央,膝上,
send,,沙夜,,,,,「いえ、お役に立てて光栄です!」
send,,酉助,通常,パターン1,中央,膝上,「ところで、詰所に何か用？」
draw,,酉助,通常,パターン1,中央,膝上,
send,,沙夜,,,,,"「えっと、頭領の源七さんを
お待ちしてるのですが...」"
,,,,,,,
send,,酉助,通常,パターン1,中央,膝上,「源さんを?」
draw,,酉助,通常,パターン1,中央,膝上,
send,,沙夜,,,,,"「父が亡くなって、こちらの詰所で
お世話になることになったんです」"
send,,酉助,通常,パターン1,中央,膝上,「だからそんなに荷物があるのか」
send,,酉助,喜,パターン1,中央,膝上,"「源さんに話が通ってるなら、
広間にあがってな。
源さんを呼んでくるよ」"
draw,,酉助,喜,パターン1,中央,膝上,
send,,沙夜,,,,,「え、いいんですか?」
send,,酉助,喜,パターン1,中央,膝上,"「置き去りにするのは嫌だからね。
荷物は俺が運ぶよ」"
draw,,酉助,喜,パターン1,中央,膝上,
send,,沙夜,,,,,「ありがとうございます」
fadein,1,,,,,,
back,広間,,,,,,
fadeout,1,,,,,,
send,,沙夜,,,,,"広間に案内された沙夜。
酉助は源七の元へと向かい、
広間には沙夜ひとりが残っていた。"
draw,,源七,通常,パターン1,左,膝上,
draw,,酉助,通常,パターン1,右,膝上,
send,,沙夜,,,,,"しばらくすると、酉助が
源七を連れて広間へ戻ってきた。"
draw,,酉助,通常,パターン1,右,膝上,
send,,源七,通常,パターン1,左,膝上,「いやぁ、悪い。待たせたな」
draw,,源七,通常,パターン1,左,膝上,
send,,酉助,呆,パターン1,右,膝上,"「源さん、きみが来る時間を
間違えてたみたい」"
draw,,酉助,呆,パターン1,右,膝上,
send,,源七,通常,パターン1,左,膝上,"「うっかりしちまってな。
すまねえ沙夜ちゃん」"
draw,,酉助,通常,パターン1,右,膝上,
send,,源七,喜,パターン1,左,膝上,「酉助、ありがとうな」
draw,,源七,通常,パターン1,左,膝上,
send,,酉助,通常,パターン1,右,膝上,"「どういたしまして。
じゃあ俺は部屋に戻るよ」"
draw,,酉助,通常,パターン1,右,膝上,
send,,源七,通常,パターン1,左,膝上,「その前に自己紹介でもしていけ」
draw,,源七,通常,パターン1,左,膝上,
send,,酉助,通常,パターン1,右,膝上,"「え？あぁ。
これからここに住むんだっけ」"
draw,,酉助,通常,パターン1,中央,膝上,
send,,沙夜,,,,,"「はい！沙夜と申します。
よろしくお願いします!!」"
send,,酉助,喜,パターン1,中央,膝上,"「俺は酉助。小頭を勤めてる。
何かわからないことがあったら
いつで聞いて」"
draw,,酉助,喜,パターン1,中央,膝上,
send,,沙夜,,,,,「はい!」
send,,酉助,通常,パターン1,中央,膝上,「それじゃあ」
draw,,源七,通常,パターン1,中央,膝上,
send,,,,,,,"酉助がその場を去ると、
源七は詰所の説明を始めた。"
send,,源七,通常,パターン1,中央,膝上,「おまえの仕事は、主に家事だ」
draw,,源七,通常,パターン1,中央,膝上,
send,,沙夜,,,,,"「子供のころから手伝っているので
家事は得意です！」"
send,,源七,喜,パターン1,中央,膝上,「お、頼もしいな」
send,,源七,通常,パターン1,中央,膝上,"「じゃあ俺についてきてくれ。
詰所の中を教えねえとな」"
fadein,1,,,,,,
back,台所,,,,,,
fadeout,1,,,,,,
send,,源七,通常,パターン1,中央,膝上,"「ここは台所だ。
朝昼晩の飯はここで作ってくれ」"
send,,源七,通常,パターン1,中央,膝上,「よし、どんどん行くぞ」
fadein,1,,,,,,
back,庭（昼）,,,,,,
fadeout,1,,,,,,
send,,源七,通常,パターン1,中央,膝上,"「この庭は洗濯物を干すのに
うってつけなんだ。
水は井戸のものを使ってくれ」"
send,,源七,喜,パターン1,中央,膝上,"「たまに鍛錬してる者もいるから
そいつらに手伝わせても構わない」"
send,,源七,通常,パターン1,中央,膝上,"「たまに野良猫が来るんだが、
少々乱暴でな。
もし見かけたら気を付けてくれ」"
draw,,源七,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「わかりました！」
send,,源七,通常,パターン1,中央,膝上,「よし、次だ」
send,,源七,通常,パターン1,中央,膝上,"「ここがおまえの部屋だ。
正面は酉助の部屋で、隣は…
また後で紹介するか」"
send,,源七,通常,パターン1,中央,膝上,"「案内は終わりだ。
組の者が帰ってくるまで
ゆっくりしててくれ」"
draw,,源七,通常,パターン1,中央,膝上,
send,,沙夜,,,,,"「わかりました。
ありがとうございます」"
send,,源七,喜,パターン1,中央,膝上,「じゃあ、後で呼びにくるからな」
fadein,1,,,,,,
back,主人公の部屋,,,,,,
fadeout,1,,,,,,
send,,,,,,,"部屋に入り、荷物の整理を始める。
ふと、部屋の隅に目をやると、
簪(かんざし)が落ちていた。"
send,,沙夜,,,,,"「きれいな簪...。
いったい誰のものだろう..」"
send,,沙夜,,,,,"「持ち主がわかるまで、
なくさないようにしまっておこう」"
send,,,,,,,"簪を引き出しにしまい、
荷物の整理を再開した。"
fadein,1,,,,,,
back,黒,,,,,,
sceneEnd,,,,,,,
