コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景,
bgmPlay,nichijou01,,,,,,,,
back,主人公の部屋,,,,,,,,
fadeout,1,,,,,,,,
send,,,,,,,"日が暮れて、広間の方が
騒がしくなり始めた。 ",,23
send,,源七,,パターン1,中央,膝上,「沙夜、いるか？」,,9
send,,沙夜,,,,,「はい！今開けます」,,10
send,,源七,,パターン1,中央,膝上,"「組の者が帰ってきたから、
おまえを紹介しようと思ってな」 ",,30
send,,源七,,パターン1,中央,膝上,「一緒に来てくれ」 ,,10
draw,,源七,,パターン1,中央,膝上,,,0
send,,沙夜,,,,,「わかりました」 ,,9
send,,源七,,パターン1,中央,膝上,「ついでに酉助も呼ばねえとな」 ,,16
send,,源七,,パターン1,中央,膝上,"「おーい、酉助!! 
広間に来てくれ！」 ",,21
draw,,源七,,パターン1,中央,膝上,,,0
send,,,,,,,"源七が向かいの部屋へ叫ぶと、
部屋の中から、酉助が出てきた。",,30
draw,,源七,,パターン1,左,膝上,,,0
send,,酉助,汗,パターン1,右,膝上,"「源さん、叫ばなくても
聞こえるから…」 ",,21
draw,,酉助,汗,パターン1,右,膝上,,,0
send,,源七,喜,パターン1,左,膝上,"「細かいこと気にするな。
早く広間に行くぞ」 ",,23
draw,,源七,通常,パターン1,左,膝上,,,0
draw,,酉助,通常,パターン1,右,膝上,,,0
send,,,,,,,"源七が沙夜を先導するように
歩き出した。 ",,21
send,,酉助,通常,パターン1,中央,膝上,「荷物の整理はできた？」 ,,13
draw,,酉助,通常,パターン1,中央,膝上,,,0
send,,沙夜,,,,,「はい」 ,,
send,,酉助,通常,パターン1,中央,膝上,「どうかした？」,,
choice,4,,,,,,緊張していて,,
choice,6,,,,,,なんでもありません,,
choice,3,,,,,,不安です,,4
send,,酉助,喜,パターン1,中央,膝上,"「そういえば、あの部屋は壬さんが
使っていた部屋なんだ。
きっと過ごしやすいと思うよ」 ",,44
draw,,酉助,喜,パターン1,中央,膝上,,,0
send,,沙夜,,,,,「そうだったんですか!?」 ,,14
draw,,酉助,通常,パターン1,中央,膝上,,,0
send,,沙夜,,,,,"（あの簪は一体誰のなんだろう。
もしかしてお父さんが誰かに
あげようとしていたのかな） ",,44
send,,酉助,通常,パターン1,中央,膝上,「気になることでもあった？」 ,,15
draw,,酉助,通常,パターン1,中央,膝上,,,0
send,,沙夜,,,,,「いえ、なんでもないです!!」 ,,16
fadein,1,,,,,,,,0
back,広間,,,,,,,,
fadeout,1,,,,,,,,
send,,,,,,,"酉助と話していると、
すぐに広間に到着した。 ",,23
send,,源七,通常,パターン1,中央,膝上,"「おい、みんな聞いてくれ！ 
今日から俺らの仲間になった者を
紹介する」 ",,37
send,,源七,喜,パターン1,中央,膝上,「壬さんの愛娘、沙夜だ。」,,13
send,,沙夜,,,,,"「沙夜と申します。
精一杯頑張りますので、
よろしくお願いします!!」",,35
send,,,,,,,「よろしくなぁ～」 ,,10
send,,卯太郎,喜,パターン1,中央,膝上,"「沙夜…かぁ～！オレは卯太郎。
よろしくな！」",,23
draw,,卯太郎,喜,パターン1,中央,膝上,,,0
send,,沙夜,,,,,"「卯太郎さんですね。
よろしくお願いします」 ",,23
send,,卯太郎,通常,パターン1,中央,膝上,「“さん”なんてつけないでよ」 ,,16
send,,卯太郎,喜,パターン1,中央,膝上,「ウタって呼んでくれ！」 ,,13
draw,,卯太郎,通常,パターン1,中央,膝上,,,0
send,,沙夜,,,,,「はい、わかりました」 ,,12
send,,卯太郎,通常,パターン1,中央,膝上,「あと、敬語もなし！」 ,,12
draw,,卯太郎,通常,パターン1,中央,膝上,,,0
send,,沙夜,,,,,「はい…」 ,,6
draw,,卯太郎,通常,パターン1,右,膝上,,,0
send,,酉助,呆,パターン1,左,膝上,"「卯太郎、積極的なのはいいけど、
あまり困らせないように」 ",,30
draw,,酉助,呆,パターン1,左,膝上,,,0
send,,卯太郎,通常,パターン1,右,膝上,「はーい」 ,,6
draw,,卯太郎,通常,パターン1,右,膝上,,,0
send,,酉助,汗,パターン1,左,膝上,"「驚いた？ごめんね。
こいつもわざとじゃないんだ」 ",,26
draw,,酉助,汗,パターン1,左,膝上,,,0
draw,,卯太郎,汗,パターン1,右,膝上,,,0
send,,沙夜,,,,,"「嫌ではないですよ。
気にしないで大丈夫です」",,23
draw,,卯太郎,通常,パターン1,右,膝上,,,0
send,,酉助,通常,パターン1,左,膝上,"「卯太郎は梯子持ちをしていて、
こう見えて、組で一番力がある」 ",,32
draw,,酉助,通常,パターン1,左,膝上,,,0
send,,卯太郎,怒,パターン1,右,膝上,"「おいおい酉助さん！
こう見えてって酷いじゃねえか」 ",,27
draw,,卯太郎,怒,パターン1,右,膝上,,,0
send,,酉助,通常,パターン1,左,膝上,「え？ごめん、褒めたんだけど」 ,,16
draw,,酉助,通常,パターン1,左,膝上,,,0
send,,卯太郎,怒,パターン1,右,膝上,「オレは一人前の男だ！」 ,,13
draw,,卯太郎,怒,パターン1,右,膝上,,,0
send,,辰己,通常,パターン1,左,膝上,"「あーもう！うるせえな！
おまえのことはいいんだよ」 ",,27
draw,,辰己,通常,パターン1,左,膝上,,,0
send,,卯太郎,哀,パターン1,右,膝上,"「辰己まで…。
最近みんなオレに冷たいよ…」 ",,23
draw,,辰己,通常,パターン1,中央,膝上,,,
send,,,,,,,"ふてくされる卯太郎に構わず、
辰己は沙夜の前に立った。",,27
