コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景
bgmPlay,kinpaku,,,,,,,
back,火事（昼）,,,,,,,
fadeout,2,,,,,,,
send,,,,,,,"現場へ着くと、源七が卯太郎に肩を
支えられて立っていた。",
draw,,源七,怒,パターン1,左,膝上,,
send,,酉助,驚,パターン1,右,膝上,「源さん!!怪我は?」,
draw,,酉助,驚,パターン1,右,膝上,,
send,,源七,怒,パターン1,左,膝上,「あぁ、大したことねえ...」,
draw,,酉助,驚,パターン1,右,膝上,,
send,,卯太郎,怒,パターン1,左,膝上,"「酉助さん、源さん詰所に
送るから、現場頼めないかな?」",
draw,,卯太郎,怒,パターン1,左,膝上,,
send,,酉助,怒,パターン1,右,膝上,"「あぁ、こっちは任せてくれ。
それより、かなり延焼してるから、
気を付けて」",
draw,,酉助,怒,パターン1,右,膝上,,
send,,卯太郎,喜,パターン1,左,膝上,"「あたりめえよ!!
じゃあ、こっちはよろしく!」",
draw,,酉助,通常,パターン1,右,膝上,,
send,,源七,通常,パターン1,左,膝上,「すまねえ、酉助...」,
draw,,源七,通常,パターン1,左,膝上,,
send,,酉助,喜,パターン1,右,膝上,「大丈夫、任せて」,
draw,,酉助,喜,パターン1,右,膝上,,
send,,沙夜,,,,,「酉助さん!私もなにか...」,
send,,酉助,怒,パターン1,中央,膝上,"「沙夜ちゃんはなるべく俺の近くに
いて」",
send,,酉助,怒,パターン1,中央,膝上,"「まだ丙治さんが近くにいるかも
しれない」",
draw,,酉助,怒,パターン1,中央,膝上,,
send,,沙夜,,,,,「わかりました」,
draw,,酉助,怒,パターン1,中央,膝上,,
send,,,,,,,"酉助は丙治を警戒して沙夜を近くに
残らせると、沙夜は風を読んだ。",
draw,,酉助,怒,パターン1,中央,膝上,,
send,,沙夜,,,,,「...酉助さん、風が止みそうです」,
send,,酉助,怒,パターン1,中央,膝上,"「よし、そのまま取り壊しを
続けてもらおう」",
send,,酉助,怒,パターン1,中央,膝上,"「沙夜ちゃんは近くで逃げ遅れて
いる人がいたら誘導を」",
draw,,酉助,怒,パターン1,中央,膝上,,
send,,沙夜,,,,,「はい!」,
send,,,,,,,"風が止むと、炎は次第に収まり、
消火が完了した。",
send,,,,,,,その後も、丙治の姿は見なかった。,
fadein,2,,,,,,,
bgmStop,,,,,,,,
